City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,port mathurin,-19.6833,63.4167,299.15,74,0,9.77,MU,1683566665
131,alofi,-19.0595,-169.9187,293.09,100,20,1.03,NU,1683566886
132,kapuskasing,49.4169,-82.4331,285.2,24,40,3.6,CA,1683567157
133,bikenibeu village,1.3673,173.1241,301.13,83,75,3.09,KI,1683566704
134,ha'il,27.5219,41.6907,301.16,15,0,8.23,SA,1683567157
135,las heras,-46.5419,-68.9359,286.55,22,57,9.41,AR,1683567158
136,anadyr,64.75,177.4833,268.43,100,100,5.0,RU,1683566702
137,nagqu,31.5,92.0,272.97,78,100,1.56,CN,1683566729
138,arraial do cabo,-22.9661,-42.0278,300.13,74,20,8.23,BR,1683566720
139,boyolangu,-8.1181,111.8935,297.86,98,100,0.86,ID,1683567159
140,warrnambool,-38.3833,142.4833,282.22,80,100,2.7,AU,1683567159
141,hasaki,35.7333,140.8333,284.94,65,100,8.45,JP,1683566764
142,tazovsky,67.4667,78.7,263.49,96,100,3.18,RU,1683566838
143,iskateley,67.6803,53.1512,272.99,97,100,6.07,RU,1683566810
144,batu pahat,1.8548,102.9325,299.51,83,73,1.33,MY,1683567160
145,saint-pierre,-21.3393,55.4781,297.97,73,99,3.09,RE,1683566973
146,puerto ayora,-0.7393,-90.3518,305.13,91,63,2.68,EC,1683566643
147,whangarei,-35.7317,174.3239,291.52,95,100,4.65,NZ,1683566929
148,montepuez,-13.1256,38.9997,292.09,71,5,1.35,MZ,1683567161
149,popondetta,-8.7537,148.2534,296.47,97,100,1.23,PG,1683567161
150,wynyard,-41.0,145.7167,282.03,88,59,4.06,AU,1683567162
151,tsiombe,-25.3,45.4833,295.56,90,0,3.65,MG,1683566747
152,ola,59.5833,151.2833,272.65,94,36,1.33,RU,1683566703
153,ruteng,-8.6136,120.4721,290.89,97,99,1.74,ID,1683567163
154,singa,13.15,33.9333,310.2,8,5,4.13,SD,1683567163
155,mon,26.75,95.1,292.27,72,0,1.77,IN,1683567163
156,khandyga,62.6667,135.6,268.67,76,99,1.74,RU,1683566909
157,vila do maio,15.1333,-23.2167,299.59,81,0,6.14,CV,1683567164
158,yarmouth,41.7057,-70.2286,296.56,49,0,5.66,US,1683567164
159,menaka,15.9182,2.4022,311.26,8,100,3.38,ML,1683567164
